sku, description, model, sku region, lifecycle phase, eolDate, eosDate
SE4008-EK, LINKSYS SE4008 WRT WIRED SWITCH.8PORT.GIGABIT, SE4008, Europe. UK. Middle East and Africa, End of Life, 30-Jul-2021, 4-Jun-2026
SE4008-ME, LINKSYS SE4008 WRT WIRED SWITCH.8PORT.GIGABIT, SE4008, Europe. UK. Middle East and Africa, End of Life, 30-Jul-2021, 4-Jun-2026
SE4008-UK, LINKSYS SE4008 WRT WIRED SWITCH.8PORT.GIGABIT, SE4008, Europe. UK. Middle East and Africa, End of Life, 30-Jul-2021, 4-Jun-2026
SPNMX85CF-UK, LINKSYS VELOP MX8500 AX8400 1PK, MX8500, Europe. UK. Middle East and Africa, End of Life, 5-Dec-2022, 10-Oct-2027
SPNMX85SF-UK, LINKSYS VELOP MX8500 AX8400 1PK, MX8500, Europe. UK. Middle East and Africa, End of Life, 5-Dec-2022, 10-Oct-2027
USB3GIG, LINSKYS USB3GIG ETHERNET ADAPTER.GIGABIT, USB3GIG, USA, End of Life, 12-Mar-2021, 15-Jan-2026
USB3GIG-EJ, LINSKYS USB3GIG ETHERNET ADAPTER.GIGABIT, USB3GIG, Europe. UK. Middle East and Africa, End of Life, 21-Sep-2022, 27-Jul-2027
USB3GIG-US, LINSKYS USB3GIG ETHERNET ADAPTER.GIGABIT, USB3GIG, USA, End of Life, 15-Apr-2020, 18-Feb-2025
VLP0101, LINKSYS VELOP VLP0101 AC1200 1PK, VLP01, USA, End of Life, 10-Aug-2020, 15-Jun-2025
VLP0101-EU, LINKSYS VELOP VLP0101 AC1200 1PK, VLP01, Europe. UK. Middle East and Africa, End of Life, 28-Jul-2021, 2-Jun-2026
VLP0101-ME, LINKSYS VELOP VLP0101 AC1200 1PK, VLP01, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
VLP0101-UK, LINKSYS VELOP VLP0101 AC1200 1PK, VLP01, Europe. UK. Middle East and Africa, End of Life, 28-Jul-2021, 2-Jun-2026
VLP0101B, LINKSYS VELOP VLP0101B AC1200 1PK BLACK, VLP01, USA, End of Life, 10-Aug-2020, 15-Jun-2025
WAP1200AC-ME, LINKSYS WAP1200AC ACCESS POINT.AC1200, WAP1200AC, Europe. UK. Middle East and Africa, End of Life, 12-Mar-2021, 15-Jan-2026
WAP300N, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, USA, End of Life, 12-Aug-2019, 16-Jun-2024
WAP300N-AP, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Asia, End of Life, 6-Aug-2019, 10-Jun-2024
WAP300N-AR, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Latin America and South America, End of Life, 10-Aug-2020, 15-Jun-2025
WAP300N-CA, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Canada, End of Life, 12-Aug-2019, 16-Jun-2024
WAP300N-EE, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WAP300N-EU, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WAP300N-LA, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Latin America and South America, End of Life, 12-Aug-2019, 16-Jun-2024
WAP300N-ME, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WAP300N-UK, LINKSYS WAP300N WIFI ACCESS POINT.N300, WAP300N, Europe. UK. Middle East and Africa, End of Life, 12-Aug-2019, 16-Jun-2024
WAP54GX-DE, Wireless-G Access Point with SRX, WAP54GX, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WAP54GX-FR, Wireless-G Access Point with SRX, WAP54GX, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WAP750AC-ME, LINKSYS WAP750AC ACCESS POINT.AC750, WAP750AC, Europe. UK. Middle East and Africa, End of Life, 12-Mar-2021, 15-Jan-2026
WAPT1200AC-ME, LINKSYS WAP1200AC ACCESS POINT.AC1200, WAPT1200AC, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WHA0301, LINKSYS VELOP WALLMOUNT WHA0301 1 PK, WHA0301, USA, End of Life, 6-Nov-2023, 4-Nov-2028
WHA0301-AMZ, LINKSYS VELOP WALLMOUNT WHA0301 1 PK, WHA0301, USA, End of Life, 29-Jun-2022, 28-Jun-2027
WHA0301B, LINKSYS VELOP WHA0301B 1PK WALL MOUNT BRACKET, WHA0301, USA, End of Life, 29-Jul-2021, 28-Jul-2026
WHW0101, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, USA, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-1P-AMZ, LINKSYS VELOP WHW0101 AC1300 1PK + WHW0101P, WHW01, USA, End of Life, 9-Aug-2021, 14-Jun-2026
WHW0101-AH, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-AMZ, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, USA, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0101-AU, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Australia and New Zealand, End of Life, 10-Aug-2020, 15-Jun-2025
WHW0101-CA, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Canada, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-CN, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-DISH, LINKSYS MESH ROUTER AC1300 VELOP NEW DB 1PK SHS, WHW01, USA, End of Life, 28-Jul-2021, 2-Jun-2026
WHW0101-EU, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Europe. UK. Middle East and Africa, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-JP, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-KR, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-ME, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Europe. UK. Middle East and Africa, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-UK, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Europe. UK. Middle East and Africa, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101-WB, LINKSYS VELOP JR 1-PACK BLANK BOX FOR SP, WHW01, USA, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0101CF-UK, LINKSYS VELOP WHW0101 AC1300 1PK, WHW01, Europe. UK. Middle East and Africa, End of Life, 4-Dec-2023, 2-Dec-2028
WHW0101P, LINKSYS VELOP PLUG-IN WHW0101P AC1300 1PK, WHW01P, USA, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0101P-AMZ, LINKSYS VELOP PLUG-IN WHW0101P AC1300 1PK, WHW01P, USA, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0101P-CA, LINKSYS VELOP PLUG-IN WHW0101P AC1300 1PK, WHW01P, Canada, End of Life, 28-Jul-2021, 2-Jun-2026
WHW0101P-DISH, LINKSYS VELOP PLUG-IN WHW0101P AC1300. 1PK. DISH NETWORKS, WHW01P, USA, End of Life, 28-Jul-2021, 2-Jun-2026
WHW0101P-EU, LINKSYS VELOP PLUG-IN WHW0101P AC1300 1PK, WHW01P, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0101P-ME, LINKSYS VELOP PLUG-IN WHW0101P AC1300 1PK, WHW01P, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0101P-UK, LINKSYS VELOP PLUG-IN WHW0101P AC1300 1PK, WHW01P, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0101UV-CN, LINKSYS VELOP JR WHW0101 AC1300 1PK, WHW01, Asia, End of Life, 10-Aug-2020, 15-Jun-2025
WHW03-VV, LINKSYS VELOP WHW03 AC2200 1PK. VIVINT, WHW03, USA, End of Life, 28-Jul-2021, 2-Jun-2026
WHW0301, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, USA, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-AH, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-AMZ, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, USA, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-AU, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Australia and New Zealand, End of Life, 12-Mar-2021, 15-Jan-2026
WHW0301-CA, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Canada, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-CN, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-DISH, LINKSYS VELOP WHW0301 AC2200 1PK. DISH, WHW03, USA, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-EU, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-HK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0301-JP, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-KR, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Asia, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301-ME, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
WHW0301-NL, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, USA, End of Life, 4-Dec-2023, 2-Dec-2028
WHW0301-UK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 6-Nov-2023, 10-Sep-2028
WHW0301B, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, USA, End of Life, 22-Jan-2021, 21-Jan-2026
WHW0301B-CA, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Canada, End of Life, 28-Jul-2021, 2-Jun-2026
WHW0301CF-UK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 4-Dec-2023, 2-Dec-2028
WHW0301GC-UK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 4-Dec-2023, 2-Dec-2028
WHW0301HB-UK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 4-Dec-2023, 2-Dec-2028
WHW0301PF-UK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 4-Dec-2023, 2-Dec-2028
WHW0301UV-CN, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Asia, End of Life, 10-Aug-2020, 15-Jun-2025
WHW0301YF-UK, LINKSYS VELOP WHW0301 AC2200 1PK, WHW03, Europe. UK. Middle East and Africa, End of Life, 28-Jul-2021, 2-Jun-2026
WRT1200AC-AP, LINKSYS WRT1200AC WIFI ROUTER.AC1200, WRT1200AC, Asia, End of Life, 15-Apr-2020, 18-Feb-2025
WRT1200AC-EU, LINKSYS WRT1200AC WIFI ROUTER.AC1200, WRT1200AC, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WRT1200AC-ME, LINKSYS WRT1200AC WIFI ROUTER.AC1200, WRT1200AC, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WRT1200AC-UK, LINKSYS WRT1200AC WIFI ROUTER.AC1200, WRT1200AC, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WRT1900ACS, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, USA, End of Life, 12-Mar-2021, 15-Jan-2026
WRT1900ACS-AP, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, Asia, End of Life, 12-Mar-2021, 15-Jan-2026
WRT1900ACS-AU, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, Australia and New Zealand, End of Life, 12-Mar-2021, 15-Jan-2026
WRT1900ACS-CA, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, Canada, End of Life, 15-Apr-2020, 18-Feb-2025
WRT1900ACS-EU, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, Europe. UK. Middle East and Africa, End of Life, 12-Mar-2021, 15-Jan-2026
WRT1900ACS-ME, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, Europe. UK. Middle East and Africa, End of Life, 10-Aug-2020, 15-Jun-2025
WRT1900ACS-UK, LINKSYS WRT1900ACS WIFI ROUTER.AC1900, WRT1900AC, Europe. UK. Middle East and Africa, End of Life, 10-Aug-2020, 15-Jun-2025
WRT3200ACM, LINKSYS WRT3200ACM WIFI ROUTER DB 160MHZ MU-MIMO, WRT3200ACM, USA, End of Life, 28-Jul-2021, 2-Jun-2026
WRT3200ACM-AMZ, LINKSYS WRT3200ACM WIFI ROUTER DB 160MHZ MU-MIMO, WRT3200ACM, USA, End of Life, 21-Sep-2022, 27-Jul-2027
WRT3200ACM-CA, LINKSYS WRT3200ACM WIFI ROUTER DB 160MHZ MU-MIMO, WRT3200ACM, Canada, End of Life, 12-Mar-2021, 15-Jan-2026
WRT3200ACM-EU, LINKSYS WRT3200ACM WIFI ROUTER DB 160MHZ MU-MIMO, WRT3200ACM, Europe. UK. Middle East and Africa, End of Life, 28-Jul-2021, 2-Jun-2026
WRT3200ACM-ME, LINKSYS WRT3200ACM WIFI ROUTER DB 160MHZ MU-MIMO, WRT3200ACM, Europe. UK. Middle East and Africa, End of Life, 28-Jul-2021, 2-Jun-2026
WRT3200ACM-UK, LINKSYS WRT3200ACM WIFI ROUTER DB 160MHZ MU-MIMO, WRT3200ACM, Europe. UK. Middle East and Africa, End of Life, 12-Mar-2021, 15-Jan-2026
WRT32X, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, USA, End of Life, 10-Aug-2020, 15-Jun-2025
WRT32X-AH, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Asia, End of Life, 10-Aug-2020, 15-Jun-2025
WRT32X-AU, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Australia and New Zealand, End of Life, 10-Aug-2020, 15-Jun-2025
WRT32X-CA, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Canada, End of Life, 10-Aug-2020, 15-Jun-2025
WRT32X-CN, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Asia, End of Life, 10-Aug-2020, 15-Jun-2025
WRT32X-EU, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WRT32X-HK, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Asia, End of Life, 10-Aug-2020, 15-Jun-2025
WRT32X-ME, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WRT32X-PLT, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, USA, End of Life, 26-Aug-2019, 30-Jun-2024
WRT32X-UK, LINKSYS WRT32X WIFI ROUTER.AC3200, WRT32X, Europe. UK. Middle East and Africa, End of Life, 15-Apr-2020, 18-Feb-2025
WRT32XB, LINKSYS WRT32X WIFI ROUTER.AC3200.XBOX, WRT32XB, USA, End of Life, 10-Aug-2020, 15-Jun-2025
WRT54GL, LINKSYS WRT54GL WIFI ROUTER.G, WRT54GL, USA, End of Life, 10-Aug-2020, 9-Aug-2025
WRT54GL-ME, LINKSYS WRT54GL WIFI ROUTER.G, WRT54GL, Europe. UK. Middle East and Africa, End of Life, 26-Aug-2019, 30-Jun-2024
WUSB6100M, LINKSYS WUSB6100M USB ADAPTER.AC600.MU-MIMO, WUSB6100M, USA, End of Life, 12-Oct-2023, 16-Aug-2028
WUSB6100M-AS, LINKSYS WUSB6100M WIFI USB ADAPTER.AC600.MU-MIMO, WUSB6100M, Asia, End of Life, 21-Sep-2022, 27-Jul-2027
WUSB6100M-CA, LINKSYS WUSB6100M WIFI USB ADAPTER.AC600.MU-MIMO, WUSB6100M, Canada, End of Life, 21-Sep-2022, 27-Jul-2027
WUSB6100M-EU, LINKSYS WUSB6100M WIFI USB ADAPTER.AC600.MU-MIMO, WUSB6100M, Europe. UK. Middle East and Africa, End of Life, 30-Jul-2021, 4-Jun-2026
WUSB6100Mx, LINKSYS WUSB6100M USB ADAPTER.AC600.MU-MIMO, WUSB6100M, USA, End of Life, 12-Mar-2021, 15-Jan-2026
WUSB6300-AS, LINKSYS WUSB6300 WIFI ADAPTER.AC1200, WUSB6300, Asia, End of Life, 12-Oct-2023, 16-Aug-2028
WUSB6300-EK, LINKSYS WUSB6300 WIFI ADAPTER.AC1200, WUSB6300, Europe. UK. Middle East and Africa, End of Life, 10-Aug-2020, 15-Jun-2025
WUSB6400M, LINKSYS. WUSB6400M. USB ADAPTER. AC1200.  MU-MIMO, WUSB6400M, USA, End of Life, 28-Jul-2021, 2-Jun-2026
WUSB6400M-AS, LINKSYS. WUSB6400M. USB ADAPTER. AC1200.  MU-MIM, WUSB6400M, Asia, End of Life, 19-Aug-2019, 23-Jun-2024
WUSB6400M-CA, LINKSYS. WUSB6400M. USB ADAPTER. AC1200.  MU-MIMO, WUSB6400M, Canada, End of Life, 12-Mar-2021, 15-Jan-2026
WUSB6400M-EU, LINKSYS. WUSB6400M. USB ADAPTER. AC1200.  MU-MIMO, WUSB6400M, Europe. UK. Middle East and Africa, End of Life, 12-Mar-2021, 15-Jan-2026
X1000-ME, LINKSYS X1000 MODEM ROUTER.DSL.N300, X1000, Europe. UK. Middle East and Africa, End of Life, 13-Aug-2019, 17-Jun-2024
X1000-UK, LINKSYS X1000 MODEM ROUTER.DSL.N300, X1000, Europe. UK. Middle East and Africa, End of Life, 13-Aug-2019, 17-Jun-2024
X6200-AP, LINKSYS X6200 MODEM ROUTER. VDSL. AC750, X6200, Asia, End of Life, 13-Aug-2019, 17-Jun-2024
X6200-AU, LINKSYS X6200 MODEM ROUTER. VDSL. AC750, X6200, Australia and New Zealand, End of Life, 13-Aug-2019, 17-Jun-2024
X6200-EU, LINKSYS X6200 MODEM ROUTER. VDSL. AC750, X6200, Europe. UK. Middle East and Africa, End of Life, 13-Aug-2019, 17-Jun-2024
X6200-ME, LINKSYS X6200 MODEM ROUTER. VDSL. AC750, X6200, Europe. UK. Middle East and Africa, End of Life, 13-Aug-2019, 17-Jun-2024
X6200-UK, LINKSYS X6200 MODEM ROUTER. VDSL. AC750, X6200, Europe. UK. Middle East and Africa, End of Life, 13-Aug-2019, 17-Jun-2024
XAC1900-ME, LINKSYS XAC1900 MODEM ROUTER.DSL.AC1900, XAC1900, Europe. UK. Middle East and Africa, End of Life, 13-Aug-2019, 17-Jun-2024
AE1200, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, USA, End of Support, 29-Jul-2022, -
AE1200-AS, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, Asia, End of Support, 29-Jul-2022, -
AE1200-EE, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
AE1200-NT, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, USA, End of Support, 4-Dec-2023, -
AE2500, LINKSYS AE2500 WIFI ADAPTER.N600, AE2500, USA, End of Support, 29-Jul-2022, -
AE2500-AS, LINKSYS AE2500 WIFI ADAPTER.N600, AE2500, Asia, End of Support, 29-Jul-2022, -
AE2500-CA, LINKSYS AE2500 WIFI ADAPTER.N600, AE2500, Canada, End of Support, 4-Dec-2023, -
AE2500-EE, LINKSYS AE2500 WIFI ADAPTER.N600, AE2500, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
AE2500-EU, LINKSYS AE2500 WIFI ADAPTER.N600, AE2500, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
AE2500-LA, LINKSYS AE2500 WIFI ADAPTER.N600, AE2500, Latin America and South America, End of Support, 4-Dec-2023, -
AE3000, LINKSYS AE3000 WIFI ADAPTER.N900, AE3000, USA, End of Support, 29-Jul-2022, -
AE3000-AS, LINKSYS AE3000 WIFI ADAPTER.N900, AE3000, Asia, End of Support, 29-Jul-2022, -
AE3000-CA, LINKSYS AE3000 WIFI ADAPTER.N900, AE3000, Canada, End of Support, 4-Dec-2023, -
AE3000-EE, LINKSYS AE3000 WIFI ADAPTER.N900, AE3000, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
AE3000-EU, LINKSYS AE3000 WIFI ADAPTER.N900, AE3000, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
AE6000-AS, LINKSYS AE6000 WIFI ADAPTER.AC600, AE6000, Asia, End of Support, 4-Dec-2023, -
CG7500, LINKSYS CG7500 CABLE GATEWAY. AC1900. 24X8, CG7500, USA, End of Support, 30-Jul-2023, -
CM3008x, LINKSYS CM3008 MODEM.DOCSIS 3.0.8x4, CM3008, USA, End of Support, 4-Dec-2023, -
E1200, LINKSYS E1200 WIFI ROUTER.N300, E1200, USA, End of Support, 27-Jul-2022, -
E1200-AU, LINKSYS E1200 WIFI ROUTER.N300, E1200, Australia and New Zealand, End of Support, 27-Jul-2022, -
E1200-BR, LINKSYS E1200 WIFI ROUTER.N300, E1200, Latin America and South America, End of Support, 4-Dec-2023, -
E1200-M2, LINKSYS E1200 WIFI ROUTER.N300, E1200, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E1200-NT, LINKSYS E1200 WIFI ROUTER.N300, E1200, USA, End of Support, 4-Dec-2023, -
E1200-RU, LINKSYS E1200 WIFI ROUTER.N300, E1200, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E1200-VV, LINKSYS E1200 WIFI ROUTER.N300. VIVINT, E1200, USA, End of Support, 4-Dec-2023, -
E1500, Wireless-N Router with SpeedBoost, E1500, USA, End of Support, 27-Jul-2022, -
E1500-AP, Wireless-N Router with SpeedBoost, E1500, Asia, End of Support, 27-Jul-2022, -
E1500-AR, Wireless-N Router with SpeedBoost, E1500, Latin America and South America, End of Support, 27-Jul-2022, -
E1500-AU, Wireless-N Router with SpeedBoost, E1500, Australia and New Zealand, End of Support, 27-Jul-2022, -
E1500-BR, Wireless-N Router with SpeedBoost, E1500, Latin America and South America, End of Support, 4-Dec-2023, -
E1500-CA, Wireless-N Router with SpeedBoost, E1500, Canada, End of Support, 27-Jul-2022, -
E1500-EE, Wireless-N Router with SpeedBoost, E1500, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E1500-EN, Wireless-N Router with SpeedBoost, E1500, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E1500-EW, Wireless-N Router with SpeedBoost, E1500, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E1500-EZ, Wireless-N Router with SpeedBoost, E1500, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E1500-LA, Wireless-N Router with SpeedBoost, E1500, Latin America and South America, End of Support, 27-Jul-2022, -
E1500-ME, Wireless-N Router with SpeedBoost, E1500, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E1500-PC, Wireless-N Router with SpeedBoost. PCCW. Hong Kong, E1500, Asia, End of Support, 27-Jul-2022, -
E1500-UK, Wireless-N Router with SpeedBoost, E1500, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E1700, LINKSYS E1700 WIFI ROUTER.N300.GIGABIT, E1700, USA, End of Support, 4-Dec-2023, -
E1700-FFP, LINKSYS E1700 WIFI ROUTER.N300.GIGABIT, E1700, USA, End of Support, 4-Dec-2023, -
E2500, LINKSYS E2500 WIFI ROUTER.N600, E2500, USA, End of Support, 27-Jul-2022, -
E2500-AU, LINKSYS E2500 WIFI ROUTER.N600, E2500, Australia and New Zealand, End of Support, 27-Jul-2022, -
E2500-BR, LINKSYS E2500 WIFI ROUTER.N600, E2500, Latin America and South America, End of Support, 4-Dec-2023, -
E2500-FFP, LINKSYS E2500 WIFI ROUTER.N600, E2500, USA, End of Support, 27-Jul-2022, -
E2500-FS, LINKSYS E2500 WIFI ROUTER.N600, E2500, USA, End of Support, 27-Jul-2022, -
E2500-M2, LINKSYS E2500 WIFI ROUTER.N600, E2500, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E2500-RU, LINKSYS E2500 WIFI ROUTER.N600, E2500, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E5750-AH, LINKSYS E5750 DUAL-BAND MESH WIFI 6 ROUTER. AX5400, E5750, Asia, End of Support, 21-Nov-2023, -
E5750-CN, LINKSYS E5750 DUAL-BAND MESH WIFI 6 ROUTER. AX5400, E5750, Asia, End of Support, 21-Nov-2023, -
E5750-HK, LINKSYS E5750 DUAL-BAND MESH WIFI 6 ROUTER. AX5400, E5750, Asia, End of Support, 21-Nov-2023, -
E8350-AP, LINKSYS E8350 WIFI ROUTER.AC2400, E8350, Asia, End of Support, 27-Jul-2022, -
E8350-EJ, LINKSYS E8350 WIFI ROUTER.AC2400, E8350, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E8350-EK, LINKSYS E8350 WIFI ROUTER.AC2400, E8350, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E8350-UK, LINKSYS E8350 WIFI ROUTER.AC2400, E8350, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E900, LINKSYS E900 WIFI ROUTER.N300, E900, USA, End of Support, 27-Jul-2022, -
E900-AP, LINKSYS E900 WIFI ROUTER.N300, E900, Asia, End of Support, 27-Jul-2022, -
E900-AU, LINKSYS E900 WIFI ROUTER.N300, E900, Australia and New Zealand, End of Support, 27-Jul-2022, -
E900-BR, LINKSYS E900 WIFI ROUTER.N300, E900, Latin America and South America, End of Support, 4-Dec-2023, -
E900-CA, LINKSYS E900 WIFI ROUTER.N300, E900, Canada, End of Support, 27-Jul-2022, -
E900-EN, LINKSYS E900 WIFI ROUTER.N300, E900, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E900-EW, LINKSYS E900 WIFI ROUTER.N300, E900, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E900-EZ, LINKSYS E900 WIFI ROUTER.N300, E900, Europe. UK. Middle East and Africa, End of Support, 27-Jul-2022, -
E900-FM, LINKSYS E900 WIFI ROUTER.N300, E900, Asia, End of Support, 27-Jul-2022, -
E900-IP, LINKSYS E900 WIFI ROUTER.N300, E900, Asia, End of Support, 4-Dec-2023, -
E900-RU, LINKSYS E900 WIFI ROUTER.N300, E900, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E900-SVO, LINKSYS E900 WIFI ROUTER.N300, E900, Europe. UK. Middle East and Africa, End of Support, 4-Dec-2023, -
E900-T2, LINKSYS E900 WIFI ROUTER.N300, E900, USA, End of Support, 4-Dec-2023, -
E900-T3, LINKSYS E900 WIFI ROUTER.N300, E900, USA, End of Support, 4-Dec-2023, -
