TD_W8960NBV1, TD_W8960NB
TL_WPA8631PV3_EU, TL_WPA8631P
TL_WR840NV6_EU, TL_WR840N
WR841NV12_EU, WR841N
Archer_C60V2_EU, Archer_C60
TD_W8901N, TD_W8901N
Archer_C7V2_EU, Archer_C7
RE300V1, RE300
TD_W8970BV1, TD_W8970B
M7350V3_EU, M7350
TL_WR741NDV5, TL_WR741ND
Archer_C50V1_KR, Archer_C50
VIGI_NVR1008HV2_EU, VIGI_NVR1008H
TL_WPA8630PV1_EU, TL_WPA8630P
Archer_VR2600V1_EU, Archer_VR2600
Archer_C50V2, Archer_C50
Archer_C6V3.20_EU, Archer_C6
RE450V3_EU, RE450
Archer_C59V1_EU, Archer_C59
Archer_MR200V1_EU, Archer_MR200
TD_W8970, TD_W8970
TL_WR847NV8_KR, TL_WR847N
TL_841NDV5, TL_841ND
AD7200, AD7200
TL_WR840N, TL_WR840N
Archer_MR400V4_EU, Archer_MR400
TL_WR843NV3_EU, TL_WR843N
CAP300V1_EU, CAP300
RE505XV1_EU, RE505X
Deco_E4V1_EU, Deco_E4
TL_WR941NDV6, TL_WR941ND
TL_WPA4530_KITV1, TL_WPA4530_KIT
Archer_C1900V2_US, Archer_C1900
TL_WR802NV4_EU, TL_WR802N
TL_WA854REV2, TL_WA854RE
TL_WR941HPV2_EU, TL_WR941HP
RE380DV1_US, RE380D
Archer_C7V3, Archer_C7
TL_WA901NDV2, TL_WA901ND
TL_WR841HPV5_EU, TL_WR841HP
Archer_MR200V3_EU, Archer_MR200
TL_WR841HPV2, TL_WR841HP
CPE510V3.2_EU, CPE510
RE400V1_US, RE400
TL_WR720N, TL_WR720N
RE200V4_US, RE200
TL_WA860REV1, TL_WA860RE
Archer_GX90V1_EU, Archer_GX90
TL_WPA8630PV2.1_EU, TL_WPA8630P
NC230, NC230
TD_W9980, TD_W9980
M7350V1_EU, M7350
WR841NV9_US, WR841N
TL_WR840NV4_EU, TL_WR840N
TL_WR747NV4_KR, TL_WR747N
AP200V1_EU, AP200
WR841NDV9_US, WR841ND
TA_WA701NDV2_EU, TA_WA701ND
TD_W9977V1_EU, TD_W9977
TL_WA701NDV1, TL_WA701ND
TL_WPA8630PV2_EU, TL_WPA8630P
